iteration,residual_norm
0,5.000000000000000e+01
1,1.466789404982913e+02
2,1.346897110061776e+02
3,1.163550097121920e+02
4,9.834299761501654e+01
5,8.137023226778720e+01
6,6.515344935562052e+01
7,4.952425361008697e+01
8,3.502355827410785e+01
9,2.219154388783103e+01
10,1.173355935099896e+01
11,5.098070821867215e+00
12,2.476864857518698e+00
13,2.037415713091657e+00
14,1.167090118308298e+00
15,4.860326439968452e-01
16,3.709447084965931e-01
17,1.676827654035921e-01
18,1.076322696819847e-01
19,7.282605514206067e-02
20,7.566991993091507e-02
21,6.031058579259269e-02
22,3.610382517389834e-02
23,1.273985578261781e-02
24,5.213897226924968e-03
25,2.047370731983373e-03
26,1.221479427534321e-03
27,6.761716748342641e-04
28,3.054754249320564e-04
29,1.651264115378041e-04
30,1.064582472997880e-04
31,8.459754008048908e-05
32,6.310772357489637e-05
33,5.040571711669033e-05
34,4.950045312926466e-05
35,4.756763116292587e-05
36,2.665599478979690e-05
37,1.489723994135862e-05
38,6.150664384710358e-06
39,2.238838910213600e-06
40,8.983917519381867e-07
41,5.236558484542079e-07
42,3.488735274426483e-07
