iteration,residual_norm
0,5.000000000000000e+01
1,1.732050807568877e+02
2,1.660291398976937e+02
3,1.713262055132380e+02
4,1.806229382088599e+02
5,1.614364914270283e+02
6,1.647373124367237e+02
7,1.498087716482294e+02
8,1.491728376412950e+02
9,1.374016021501674e+02
10,1.346228476666124e+02
11,1.248604743378985e+02
12,1.209191968591533e+02
13,1.124863406223916e+02
14,1.079234435248914e+02
15,1.004224372183319e+02
16,9.554923701852573e+01
17,8.873835142815642e+01
18,8.374077075821475e+01
19,7.746628506449348e+01
20,7.245798729897548e+01
21,6.661729548472321e+01
22,6.166794494485863e+01
23,5.618864157642466e+01
24,5.133942077519568e+01
25,4.616671144374625e+01
26,4.143883924456814e+01
27,3.652722563698089e+01
28,3.192611825228211e+01
29,2.723279879360967e+01
30,2.274906197624800e+01
31,1.823414566579997e+01
32,1.390102328767006e+01
33,9.807138232843169e+00
34,6.506924104940119e+00
35,4.495902231584362e+00
36,4.089431672525135e+00
37,5.007137503477392e+00
38,5.289954434434065e+00
39,3.454386338909980e+00
40,2.488964306054253e+00
41,2.598605958662322e+00
42,2.173349506262266e+00
43,1.516826147674774e+00
44,1.477820196604293e+00
45,1.210424123047591e+00
46,9.248033308342836e-01
47,9.034661598819604e-01
48,7.030955876537455e-01
49,6.091520873632160e-01
50,5.094563926065659e-01
51,3.988735847478721e-01
52,3.445457823130851e-01
53,2.569710127889282e-01
54,2.147404531574399e-01
55,1.681642851212826e-01
56,1.278739339600284e-01
57,1.037109614096846e-01
58,7.448839121570856e-02
59,5.883342249232737e-02
60,4.181407117397522e-02
61,3.068483252037198e-02
62,2.193330241410247e-02
63,1.480323847721774e-02
64,1.064510358038237e-02
65,6.851026229314535e-03
66,5.027319126695308e-03
67,3.343457146141342e-03
68,2.578190960973911e-03
69,1.794782390790332e-03
70,1.308684940478380e-03
71,8.256937891708050e-04
72,5.412238872132900e-04
73,3.700070160414886e-04
74,2.832895339140951e-04
75,2.130605000683056e-04
76,1.366122955499124e-04
77,8.766845294993638e-05
78,6.148376215430945e-05
79,4.819681245840173e-05
80,3.221940369884110e-05
81,2.201788558686310e-05
82,1.609438288874408e-05
83,1.271858278990502e-05
84,9.781320188200010e-06
85,8.121374415262831e-06
86,6.253907235917613e-06
87,4.948304758271661e-06
88,3.844920468232989e-06
89,2.634103128366356e-06
90,1.728074000863261e-06
91,1.156316976562057e-06
92,6.863874846536390e-07
93,4.196037898916062e-07
