iteration,residual_norm
0,5.000000000000000e+01
1,1.466787585273512e+02
2,1.346889936112079e+02
3,1.163544389731221e+02
4,9.834248390510075e+01
5,8.136987251030783e+01
6,6.515306497011480e+01
7,4.952396929928224e+01
8,3.502330592630874e+01
9,2.219138527822016e+01
10,1.173345821776542e+01
11,5.098018987034384e+00
12,2.476833485118972e+00
13,2.037395629081857e+00
14,1.167076510012554e+00
15,4.860270997142905e-01
16,3.709407290130937e-01
17,1.676809651146144e-01
18,1.076311543742513e-01
19,7.282505460792581e-02
20,7.566885650879650e-02
21,6.030976296981568e-02
22,3.610362181881348e-02
23,1.273990499969685e-02
24,5.214253897706453e-03
25,2.048361563631339e-03
26,1.223826556785310e-03
27,6.803371597689755e-04
28,3.122004126868249e-04
29,1.789702685737593e-04
30,1.331039982487347e-04
31,1.272613883796358e-04
32,1.156123278925889e-04
33,1.129653167708572e-04
34,1.206052782526715e-04
35,1.067079300880464e-04
36,5.981270975342119e-05
37,4.265627808165018e-05
38,3.388260784852981e-05
39,4.716373824441630e-05
40,4.989016252516890e-05
41,2.715682970604036e-05
42,1.014439641973672e-05
43,5.249996119940402e-06
44,2.544211258788782e-06
45,1.603967042674118e-06
46,1.058882640883985e-06
47,8.661641046617960e-07
48,6.137087622192093e-07
49,2.354351014409761e-07
