iteration,residual_norm
0,5.000000000000000e+01
1,1.732050807568877e+02
2,1.660289119682924e+02
3,1.713259183909428e+02
4,1.806219831062930e+02
5,1.614355037623385e+02
6,1.647357555014242e+02
7,1.498065810261685e+02
8,1.491712391640895e+02
9,1.374020034310817e+02
10,1.346241367776410e+02
11,1.248622678694408e+02
12,1.209207918044908e+02
13,1.124879464028813e+02
14,1.079246880062667e+02
15,1.004238818941366e+02
16,9.555094661193839e+01
17,8.873969460414826e+01
18,8.374184895036053e+01
19,7.746736964280510e+01
20,7.245903678437045e+01
21,6.661851736168218e+01
22,6.166924834474838e+01
23,5.618991799927835e+01
24,5.134054501561120e+01
25,4.616760767082127e+01
26,4.143959889339317e+01
27,3.652785484650720e+01
28,3.192662505193794e+01
29,2.723322080529013e+01
30,2.274945671355074e+01
31,1.823448545917700e+01
32,1.390124284415982e+01
33,9.807244515301440e+00
34,6.506984186294262e+00
35,4.495950784407070e+00
36,4.089495362579183e+00
37,5.007226871044526e+00
38,5.290050149546486e+00
39,3.454441837874084e+00
40,2.489004847355158e+00
41,2.598652354686243e+00
42,2.173391128582873e+00
43,1.516850556065440e+00
44,1.477843037138733e+00
45,1.210441980190262e+00
46,9.248208645752160e-01
47,9.034839048973362e-01
48,7.031093807604905e-01
49,6.091641281308128e-01
50,5.094661783161550e-01
51,3.988811603370492e-01
52,3.445519499496465e-01
53,2.569754913978543e-01
54,2.147441546468370e-01
55,1.681674126214933e-01
56,1.278765327738372e-01
57,1.037134403709804e-01
58,7.449058580501949e-02
59,5.883567259790549e-02
60,4.181632097601715e-02
61,3.068737002997592e-02
62,2.193634821605240e-02
63,1.480698612958814e-02
64,1.065023716618916e-02
65,6.857817568328828e-03
66,5.037395847738748e-03
67,3.357242846332603e-03
68,2.598863564722641e-03
69,1.822421027299265e-03
70,1.347345221745448e-03
71,8.764473538563856e-04
72,6.149675075058600e-04
73,4.799454678020785e-04
74,4.502748850918046e-04
75,4.440924769130138e-04
76,4.243378532588004e-04
77,4.804618724657728e-04
78,6.398754695425204e-04
79,8.737182509969923e-04
80,9.672984067103120e-04
81,1.094479126237089e-03
82,1.151019120568961e-03
83,1.053943345119396e-03
84,8.264806781919778e-04
85,6.374974650186281e-04
86,4.505495976787110e-04
87,3.330981028995325e-04
88,2.511109941678237e-04
89,1.834589912495573e-04
90,1.472482534935143e-04
91,1.249706794101372e-04
92,9.964151449242566e-05
93,8.070849951720985e-05
94,6.011838165087388e-05
95,3.929669154167677e-05
96,2.642238296844466e-05
97,1.630124633097508e-05
98,1.092852434365672e-05
99,7.049053522843426e-06
100,5.275982251899434e-06
101,4.214231871602686e-06
102,3.930447411084992e-06
103,3.493628331191171e-06
104,3.309658108618786e-06
105,3.042615885074884e-06
106,3.347437249319464e-06
107,3.661590373725022e-06
108,3.567035856397352e-06
109,2.788885530946466e-06
110,1.897188950906164e-06
111,1.477320763628728e-06
112,1.401497675040919e-06
113,1.671309674221542e-06
114,2.102983807005926e-06
115,2.415195440798794e-06
116,2.456772641125620e-06
117,2.020845091411532e-06
118,1.457420668312846e-06
119,9.241390534766593e-07
120,6.849226180991877e-07
121,6.623427406767294e-07
122,7.309573348072104e-07
123,7.563508744998362e-07
124,7.119461598763082e-07
125,6.892982565280922e-07
126,5.808761537318598e-07
127,4.383919864584672e-07
