iteration,true_error_float,true_error_double
0,5.471630e+03,5.471630e+03
1,4.264224e+03,4.264220e+03
2,3.219732e+03,3.219725e+03
3,2.356050e+03,2.356042e+03
4,1.661477e+03,1.661468e+03
5,1.116089e+03,1.116080e+03
6,7.010432e+02,7.010346e+02
7,4.006875e+02,4.006798e+02
8,2.015007e+02,2.014939e+02
9,8.790575e+01,8.790068e+01
10,3.763963e+01,3.763680e+01
11,2.137787e+01,2.137669e+01
12,1.510365e+01,1.510299e+01
13,9.150180e+00,9.149715e+00
14,4.082919e+00,4.082662e+00
15,2.692835e+00,2.692693e+00
16,1.811092e+00,1.810989e+00
17,1.323086e+00,1.323005e+00
18,1.103845e+00,1.103763e+00
19,8.718058e-01,8.717134e-01
20,6.304744e-01,6.303671e-01
21,2.803519e-01,2.801750e-01
22,8.499687e-02,8.457059e-02
23,2.675223e-02,2.559076e-02
24,1.416684e-02,1.201500e-02
25,1.034969e-02,7.317484e-03
26,8.311073e-03,4.274497e-03
27,7.381318e-03,2.523425e-03
28,7.024324e-03,1.833907e-03
29,6.816927e-03,1.540215e-03
30,6.587988e-03,1.334907e-03
31,6.241553e-03,1.118784e-03
32,5.787099e-03,9.142197e-04
33,5.294236e-03,7.384963e-04
34,4.644861e-03,5.331394e-04
35,3.934925e-03,2.679404e-04
36,3.577610e-03,9.854636e-05
37,3.451926e-03,3.450130e-05
38,3.414921e-03,1.136831e-05
39,3.248270e-03,5.952389e-06
40,2.945747e-03,4.149485e-06
41,2.764354e-03,3.133947e-06
42,2.764261e-03,2.190921e-06
43,2.764262e-03,
44,2.764262e-03,
45,2.764262e-03,
46,2.764262e-03,
47,2.764262e-03,
48,2.764262e-03,
49,2.764262e-03,
